Date,Scrip,Open,High,Low,Close,Volume
20201129,00DS30,1689.7002,1702.68739,1689.36571,1698.79952,7662151000
20201129,00DSES,1118.8516,1123.17255,1115.41508,1120.91871,7662151000
20201129,00DSEX,4869.09286,4889.68406,4866.16403,4881.8213,7662151000
20201129,1JANATAMF,6.5,6.7,6.3,6.4,2953085
20201129,1STPRIMFMF,21.7,22.5,20.9,21.1,1359796
20201129,AAMRANET,35.2727272727273,37,35.1818181818182,36.5454545454545,281186
20201129,AAMRATECH,23.5454545454545,23.6363636363636,22.5454545454545,23.2727272727273,58909
20201129,ABB1STMF,6.8,6.9,6.5,6.5,7880390
20201129,ABBANK,9.71428571428571,10,9.61904761904762,9.80952380952381,2297350
20201129,ACFL,32.3,33.2,32,32.8,870526
20201129,ACI,212.490118577075,212.490118577075,207.98418972332,209.249011857708,76415
20201129,ACIFORMULA,110.47619047619,112.380952380952,108.761904761905,110.285714285714,16429
20201129,ACMELAB,69.2,69.5,68,68.3,90774
20201129,ACTIVEFINE,14.1,14.9,13.9,14,1163027
20201129,ADNTEL,57.1,58.9,56.5,57.6,1088521
20201129,ADVENT,22.8,22.8,22.8,22.8,2445
20201129,AFCAGRO,17,17,17,17,52200
20201129,AFTABAUTO,22.7619047619048,22.7619047619048,22.4761904761905,22.4761904761905,46785
20201129,AGNISYSL,19.5,19.6,18.5,18.7,540262
20201129,AGRANINS,35,36.7,34.7,35.7,923710
20201129,AIBL1STIMF,9.1,9.3,8.5,8.6,831386
20201129,AIL,26.2,26.2,26.2,26.2,690
20201129,AL-HAJTEX,41.1,41.1,38.2,41.1,400969
20201129,ALARABANK,20.5,22.1,20.5,21.9,1276376
20201129,ALIF,6.5,6.5,6.5,6.5,29290
20201129,ALLTEX,8,8,7.4,7.7,13260
20201129,AMANFEED,26.1463414634146,26.1463414634146,26.1463414634146,26.1463414634146,15555
20201129,AMBEEPHA,438.3,442.9,438.3,439.2,2506
20201129,AMCL(PRAN),190.5,195.8,190.5,191.4,1849
20201129,ANLIMAYARN,29.9,30,29.9,29.9,12025
20201129,ANWARGALV,125.714285714286,125.714285714286,123.714285714286,124.47619047619,141533
20201129,AOL,53.3644859813084,53.5514018691589,50,50.2803738317757,1430132
20201129,APEXFOODS,132,132.7,126,126.7,84262
