Date,Scrip,Open,High,Low,Close,Volume
20211229,00DS30,2523.78082,2537.58546,2519.8621,2522.31875,7353747000
20211229,00DSES,1431.47112,1436.64567,1424.80964,1427.27469,7353747000
20211229,00DSEX,6742.63173,6777.83802,6721.72754,6731.14801,7353747000
20211229,1JANATAMF,6.3,6.4,6.2,6.3,190078
20211229,1STPRIMFMF,20,20.1,19.6,19.9,66266
20211229,AAMRANET,44.2,44.8,43.4,43.6,351158
20211229,AAMRATECH,27.8,29.7,27.8,28,278004
20211229,ABB1STMF,5.6,5.6,5.5,5.6,82455
20211229,ABBANK,13.8,13.8,13.4,13.5,917877
20211229,ACFL,31,31,29.8,30.1,192060
20211229,ACI,293.9,293.9,284.2,284.5,58446
20211229,ACIFORMULA,151.1,151.1,148,148.5,9632
20211229,ACMELAB,83.6,83.7,82.7,83,120137
20211229,ACMEPL,28.2,28.4,27,27.2,1394460
20211229,ACTIVEFINE,25.9,26.7,25.7,25.9,2558054
20211229,ADNTEL,54,54,52.9,53.2,96656
20211229,ADVENT,26.9,26.9,26.4,26.5,244248
20211229,AFCAGRO,29.3,29.6,28.3,28.5,324351
20211229,AFTABAUTO,27.6,27.7,27.3,27.4,9965
20211229,AGNISYSL,21,21.5,20.8,20.9,693052
20211229,AGRANINS,59.6,60.7,58,58.3,345219
20211229,AIBL1STIMF,8.5,8.6,8.4,8.5,68801
20211229,AIBLPBOND,4800,4820,4800,4807.5,6
20211229,AIL,43,45.3,42.9,44.6,715998
20211229,AL-HAJTEX,70,71.6,69.6,70.6,149386
20211229,ALARABANK,26.8,26.8,26.5,26.6,75075
20211229,ALIF,14.6,14.9,14.1,14.2,2689477
20211229,ALLTEX,16,16.6,16,16.4,122224
20211229,AMANFEED,56.2,56.5,54.7,55,467379
20211229,AMBEEPHA,455,455,440.1,443.8,1603
20211229,AMCL(PRAN),290,298.9,288.2,292.6,88064
20211229,ANLIMAYARN,36.3,36.8,35.8,35.9,71318
20211229,ANWARGALV,359.9,367,346,357.9,41226
20211229,AOL,41.6,42.7,41.6,41.7,60430
20211229,APEXFOODS,149,156,149,153.2,32920
20211229,APEXFOOT,274.7,274.7,264.3,267.8,17930
20211229,APEXSPINN,122,123.2,121.6,121.9,9873
20211229,APEXTANRY,130.9,130.9,126,128.5,16663
20211229,APOLOISPAT,8.8,8.9,8.6,8.7,720054
20211229,ARAMIT,329,339,322.1,326.5,11221
20211229,ARAMITCEM,38.9,39.4,37.7,38.1,100680
20211229,ARGONDENIM,18.2,18.3,17.7,17.7,142795
20211229,ASIAINS,117.6,124.9,109,120,1440877
20211229,ASIAPACINS,70.8,70.9,67,68.2,484287
20211229,ATCSLGF,9.5,9.5,9.2,9.3,106891
20211229,ATLASBANG,115,121.5,108.2,120.2,92168
20211229,AZIZPIPES,101,104,101,102.6,22655
20211229,BANGAS,120,122.6,120,121.3,13935
20211229,BANKASIA,20.8,21,20.8,21,241834
20211229,BARKAPOWER,24.2,24.5,24,24.2,330985
20211229,BATASHOE,872.1,933,872,910.2,15517
20211229,BATBC,640,647,630.8,634.5,120326
20211229,BAYLEASING,31.7,31.7,30.6,30.8,884996
20211229,BBS,17.2,18.7,17.1,18.3,1460811
20211229,BBSCABLES,56.1,56.5,55.1,55.3,179202
20211229,BDAUTOCA,133.9,139.5,133,134.3,9934
20211229,BDCOM,22.7,23,22.4,22.5,322133
20211229,BDFINANCE,55.9,56,54.5,54.9,95958
20211229,BDLAMPS,193.5,196.9,191.9,193.1,51444
20211229,BDTHAI,19.9,20.2,19.8,19.9,327548
20211229,BDWELDING,17.4,17.4,16.7,16.9,36439
20211229,BEACHHATCH,29.7,29.7,28.9,29.1,71462
20211229,BEACONPHAR,247,247,242.3,243.4,1067150
20211229,BENGALWTL,21.9,21.9,21.3,21.4,18660
20211229,BERGERPBL,1761.6,1762.2,1761.1,1762.1,2518
20211229,BEXIMCO,149,151.9,148,148.5,2732007
20211229,BGIC,55.4,55.4,53,53.6,94837
20211229,BIFC,6.8,6.8,6.2,6.2,42790
20211229,BNICL,146.5,146.5,137,142.9,188518
20211229,BPML,43.5,43.7,42.1,42.9,81957
20211229,BPPL,34.5,35.5,34.5,34.6,690746
20211229,BRACBANK,53.6,54.5,53.5,54.3,510323
20211229,BSC,69.7,73.4,67.2,71.1,7346364
20211229,BSCCL,194,209.2,194,207.3,1573210
20211229,BSRMLTD,103,103,101.6,102.6,51414
20211229,BSRMSTEEL,70.6,71,70.4,70.5,103222
20211229,BXPHARMA,191.3,194,191.3,192.6,377986
20211229,CAPMBDBLMF,9.9,10.1,9.8,9.8,619262
20211229,CAPMIBBLMF,16.8,17.3,16.6,16.7,86500
20211229,CENTRALINS,54.3,54.9,53.8,54.1,233474
20211229,CENTRALPHL,13.6,13.6,13.2,13.3,146486
20211229,CITYBANK,27.5,27.5,26.8,26.9,400405
20211229,CITYGENINS,43.6,43.8,42.9,43,300239
20211229,CNATEX,7.5,7.7,7.5,7.6,595364
20211229,CONFIDCEM,115,117.8,113.8,117.2,104373
20211229,CONTININS,47.4,47.7,47,47.1,154480
20211229,COPPERTECH,34.4,35.6,34.1,34.4,665843
20211229,CRYSTALINS,57,57,55.4,55.7,111096
20211229,CVOPRL,187.3,195,187.1,188.7,125273
20211229,DACCADYE,22.3,23.4,22.1,23.3,3606415
20211229,DAFODILCOM,69.9,71,65,69.9,214413
20211229,DBH,77,77.4,76.1,76.6,72090
20211229,DBH1STMF,7.4,7.5,7.3,7.4,135032
20211229,DELTALIFE,190.6,195.8,189,193.9,483973
20211229,DELTASPINN,9.3,9.3,9,9,227914
20211229,DESCO,35.2,36,34,34.5,88673
20211229,DESHBANDHU,21.1,21.2,20.4,20.5,355752
20211229,DGIC,41.2,41.3,40.1,40.6,64910
20211229,DHAKABANK,14,14.1,13.8,13.9,291370
20211229,DHAKAINS,75.3,75.4,73.9,74.1,43857
20211229,DOMINAGE,24.6,25,24.5,24.6,240742
20211229,DOREENPWR,67.1,67.4,66.5,66.6,150190
20211229,DSHGARME,161.4,164,156.5,157.3,47748
20211229,DSSL,16.2,16.3,15.7,15.8,664746
20211229,DULAMIACOT,50,50,48.8,49.3,10701
