Date,Scrip,Open,High,Low,Close,Volume
20210530,00DS30,2189.73544,2213.67551,2189.73544,2208.2833,21492148000
20210530,00DSES,1285.01473,1293.63513,1280.72934,1285.88303,21492148000
20210530,00DSEX,5985.81503,6039.12041,5972.68249,6008.69445,21492148000
20210530,1JANATAMF,6.6,6.9,6.5,6.8,3556179
20210530,1STPRIMFMF,19.8,20.7,19.8,20.4,773720
20210530,AAMRANET,35.2727272727273,35.4545454545455,35,35.1818181818182,122294
20210530,AAMRATECH,24,24,23.1818181818182,23.2727272727273,34245
20210530,ABB1STMF,6.6,7,6.5,6.9,11697521
20210530,ABBANK,16.7,16.7,14.9,15.4,33396724
20210530,ACFL,37,37,33.7,35.1,1083745
20210530,ACI,215.478260869565,215.478260869565,214,214.260869565217,49431
20210530,ACIFORMULA,124.952380952381,124.952380952381,116.380952380952,117.904761904762,82695
20210530,ACMELAB,70.1,71,69.8,70.7,253169
20210530,ACTIVEFINE,17,17,16.2,16.4,1784358
20210530,ADNTEL,53.3,54.7,50.5,51.8,874221
20210530,ADVENT,21,21.3,20.9,20.9,2681252
20210530,AFCAGRO,15.8,16.8,15.8,16.6,483691
20210530,AFTABAUTO,24.0952380952381,26.4761904761905,24.0952380952381,26.4761904761905,522313
20210530,AGNISYSL,19.5,19.5,18.8,18.9,411579
20210530,AGRANINS,56,56.5,52.7,53.7,1153968
20210530,AIBL1STIMF,10.7,11.1,10.6,10.9,7500590
20210530,AIL,23.5,23.9,23.1,23.1,183800
20210530,AL-HAJTEX,36.7,37,36.1,36.5,86765
20210530,ALARABANK,25.2,25.5,23.7,24,2412377
20210530,ALIF,9.4,9.6,9.1,9.2,7764743
20210530,ALLTEX,9.1,9.6,9.1,9.5,464200
20210530,AMANFEED,42.5,42.5,38.1,39.1,2375732
20210530,AMBEEPHA,410,415.3,408.6,409.4,1455
20210530,AMCL(PRAN),194,194,190.3,190.7,3819
20210530,ANLIMAYARN,34.2,34.2,33.2,33.4,212483
20210530,ANWARGALV,131,131,129.3,129.6,167561
20210530,AOL,43.8317757009346,44.6728971962617,42.5233644859813,42.9906542056075,636820
20210530,APEXFOODS,120.5,122.9,120.1,120.1,83520
20210530,APEXFOOT,208.857142857143,208.857142857143,208.857142857143,208.857142857143,12374
20210530,APEXSPINN,130.7,130.7,130.7,130.7,306
20210530,APEXTANRY,106.9,106.9,106.9,106.9,757
20210530,APOLOISPAT,6.7,7,6.7,6.7,3603133
20210530,APSCLBOND,5120,5135,5120,5131,15
20210530,ARAMIT,260,262,253,254,7283
20210530,ARAMITCEM,33.4,35,32.5,34.3,289765
20210530,ARGONDENIM,18.1904761904762,18.3809523809524,17.7142857142857,17.7142857142857,486801
20210530,ASIAINS,108,112.5,101.7,109.1,634208
20210530,ATCSLGF,10.4,11.3,10.4,10.9,1400596
20210530,ATLASBANG,109.4,109.4,109.4,109.4,202
20210530,AZIZPIPES,97.5,97.5,97.5,97.5,315
20210530,BANGAS,116.9,116.9,116.9,116.9,457
20210530,BANKASIA,19,19.2,18,18.9,1571214
20210530,BARKAPOWER,27,27.8,26.5,27.4,1736754
20210530,BATASHOE,693.2,693.2,693.2,693.2,562
20210530,BATBC,554.1,555.2,547.3,549.1,459221
20210530,BAYLEASING,28.3,28.9,27.2,27.4,1814825
20210530,BBS,16.5,16.5,16.5,16.5,47708
20210530,BBSCABLES,53.2380952380952,53.2380952380952,52,52.2857142857143,1157069
20210530,BDAUTOCA,147.3,147.3,147.3,147.3,75
20210530,BDCOM,22.0952380952381,22.2857142857143,21.7142857142857,21.7142857142857,547136
20210530,BDFINANCE,35.3,36.6,35.3,36,7148525
20210530,BDLAMPS,163.6,164.2,160.3,160.7,50848
20210530,BDTHAI,24.2,24.3,23.3,23.5,4197389
20210530,BDWELDING,16.1,16.1,15.6,15.8,388859
20210530,BEACHHATCH,13.2,13.2,12.8,12.8,172713
20210530,BEACONPHAR,119.8,120.9,114.8,115.7,697706
20210530,BENGALWTL,17,17.4,17,17.2,112958
20210530,BERGERPBL,1783,1786,1749.2,1756.8,8290
20210530,BEXIMCO,86.5,89.1,86.2,88.5,13207847
20210530,BGIC,48.4,48.7,46.3,46.6,505701
20210530,BIFC,4.2,4.2,4.1,4.2,28284
20210530,BNICL,144.8,144.8,128,141,108665
20210530,BPML,41.1,41.6,40.6,41.2,163474
20210530,BRACBANK,50.1,52.6,49.6,52,3453071
20210530,BSC,42.4,43.8,41.5,43.6,1052638
20210530,BSCCL,185.4,186.6,180.1,182.2,990857
20210530,BSRMLTD,81.8,83,79.3,80.5,533681
20210530,BSRMSTEEL,52,52.5,50,52,317284
20210530,BXPHARMA,173.8,174.9,169.8,170.2,783179
20210530,CAPMBDBLMF,10.4,11.1,10.4,10.7,2965759
20210530,CAPMIBBLMF,23.6,24.3,23.3,23.5,1159017
20210530,CENTRALINS,53.6744186046512,55.5348837209302,53.0232558139535,53.3023255813954,497964
20210530,CENTRALPHL,11.3,11.6,11.1,11.2,607263
20210530,CITYBANK,27.6,27.9,27,27.7,6296574
20210530,CITYGENINS,40.6,41.2,37.1,37.8,1961873
20210530,CNATEX,2.6,2.7,2.5,2.5,1250114
20210530,CONFIDCEM,128.6,130,125.3,126.3,1467664
20210530,CONTININS,48.8,50,46.6,47.2,1254029
20210530,COPPERTECH,20.8,20.8,20.3,20.3,509915
20210530,CRYSTALINS,60.3,61.5,55,56.2,1175811
20210530,CVOPRL,115.4,115.4,115.4,115.4,100
20210530,DACCADYE,15.5,15.5,14.8,15.1,742560
20210530,DAFODILCOM,53.4,54.4,53.4,53.6,16385
20210530,DBH,80.6,80.6,80.6,80.6,10010
20210530,DBH1STMF,7.6,7.8,7.5,7.7,2135160
20210530,DELTALIFE,99,106.1,99,104.3,929339
20210530,DELTASPINN,10.4,10.5,9.7,9.7,10354878
20210530,DESCO,34,34.5,33.9,34.2,54306
20210530,DESHBANDHU,11.1,11.2,10.8,11,952712
20210530,DGIC,48.4,48.9,44.5,45.5,944284
20210530,DHAKABANK,15.8490566037736,15.8490566037736,14.7169811320755,15.0943396226415,10954479
20210530,DHAKAINS,86.1,88.9,80.9,82.4,881892
20210530,DOMINAGE,21.8095238095238,22.5714285714286,21.5238095238095,22.2857142857143,1151556
20210530,DOREENPWR,57.6785714285714,57.6785714285714,56.6964285714286,56.7857142857143,136238
20210530,DSHGARME,130.1,134,128.5,131,28607
20210530,DSSL,14.2,14.5,13.9,14,14765081
20210530,DULAMIACOT,41.6,42.9,41.6,41.7,4109
20210530,DUTCHBANGL,63,69.3,62.6,69.3,2678307
20210530,EASTERNINS,124,136.4,120.1,131.6,312622
20210530,EASTLAND,38.1,39.3,36.4,36.8,2471624
20210530,EASTRNLUB,979,982.916666666667,965,973.5,2576
20210530,EBL,36,38.4,35.8,37.7,1281358
20210530,EBL1STMF,7.6,8.1,7.6,7.9,1174921
20210530,EBLNRBMF,6.6,7.1,6.6,6.8,3533835
20210530,ECABLES,140.1,140.1,140.1,140.1,200
20210530,EGEN,58.3,61.5,57.4,58,2307386
20210530,EHL,45.8,47.3,44.6,46.8,674792
20210530,EIL,38,38.7,35.9,36.2,2115402
20210530,EMERALDOIL,20.3,21,20.3,20.7,136011
20210530,ENVOYTEX,24.1,24.9,23.9,24.9,68175
20210530,EPGL,45,45.9,44.3,44.6,855422
20210530,ESQUIRENIT,26.9,26.9,26,26.2,657478
20210530,ETL,8.3,8.4,8.2,8.3,566282
20210530,EXIM1STMF,6.9,7.1,6.9,7,6863421
20210530,EXIMBANK,13.1707317073171,13.1707317073171,12.5853658536585,12.6829268292683,7146013
20210530,FAMILYTEX,2.9,3,2.8,2.9,911187
20210530,FARCHEM,8.9,9.1,8.8,8.8,876494
20210530,FAREASTFIN,4,4,3.9,3.9,135881
20210530,FAREASTLIF,58.2,61.3,58.2,61.3,1287658
20210530,FASFIN,6,6,5.7,5.7,1480775
20210530,FBFIF,5.9,6.2,5.9,6.2,9276354
20210530,FEDERALINS,32.1904761904762,32.5714285714286,30.952380952381,31.1428571428571,1926568
20210530,FEKDIL,11.4,11.8,11.1,11.4,2010832
20210530,FINEFOODS,46,46,44.5,44.6,217275
20210530,FIRSTFIN,7.7,8,7.4,7.5,317099
20210530,FIRSTSBANK,12.0952380952381,12.1904761904762,11.5238095238095,11.9047619047619,20317719
20210530,FORTUNE,22.4,22.8,21.8,22.3,3269561
20210530,FUWANGCER,11.5,12.3,11.3,12.2,3782786
20210530,FUWANGFOOD,15,15.5,14.9,15.2,1722161
20210530,GBBPOWER,35.4,35.8,34.2,34.6,1833913
20210530,GEMINISEA,144.3,144.3,144.3,144.3,12423
20210530,GENEXIL,95,95,85,88,1987298
20210530,GENNEXT,4.7,4.8,4.6,4.7,2796465
20210530,GHAIL,14.5,14.5,14.2,14.2,838938
20210530,GHCL,30.2,30.4,29.7,30.2,57558
20210530,GLOBALINS,52.3,54.3,49.4,50.6,1597652
20210530,GOLDENSON,14.5,14.7,14.1,14.3,1746706
20210530,GP,348.4,348.4,344,345,125151
20210530,GPHISPAT,31.4545454545455,34.3636363636364,31.4545454545455,33.4545454545454,5289427
20210530,GQBALLPEN,116.8,117,111.9,112.4,125858
20210530,GRAMEENS2,17.7,18.3,17.5,17.9,1776848
20210530,GREENDELMF,8,8.5,8,8.2,3413884
20210530,GREENDELT,92.2,97.4,87.2,94.6,2455679
20210530,GSPFINANCE,25.1,25.1,22.6,22.7,15512831
20210530,HAKKANIPUL,74,74,74,74,1050
20210530,HEIDELBCEM,284,284,260.1,269.4,23199
20210530,HFL,15.3,15.8,15.3,15.4,279590
20210530,HRTEX,40.4761904761905,40.7619047619048,38.5714285714286,39.3333333333333,438156
20210530,HWAWELLTEX,36.7,36.7,34.7,35.1,7666
20210530,IBBLPBOND,1004,1040,1004,1015.5,180
20210530,IBNSINA,242.6,245.5,242.6,244.7,6223
20210530,IBP,17.2,17.7,17.2,17.2,1504212
20210530,ICB,99.9,104,98.4,103.1,277557
20210530,ICB3RDNRB,6.8,7,6.6,6.9,495751
20210530,ICBAGRANI1,8.8,9.1,8.7,8.7,776210
20210530,ICBAMCL2ND,9.5,9.8,9.4,9.7,1864568
20210530,ICBEPMF1S1,7.5,7.9,7.4,7.7,1663722
20210530,ICBIBANK,4.1,4.2,3.9,4,861248
20210530,ICBSONALI1,9,9.1,8.9,8.9,231413
20210530,IDLC,63.5,63.6,62,62.8,395198
20210530,IFADAUTOS,51.8,55.3,51.8,55.3,12537342
20210530,IFIC,13.8,13.9,13.2,13.3,25308539
20210530,IFIC1STMF,6.8,7,6.7,6.8,5523353
20210530,IFILISLMF1,6.7,6.8,6.7,6.8,344874
20210530,ILFSL,5,5.1,4.9,4.9,1164377
20210530,IMAMBUTTON,25.2,25.2,24,24,64036
20210530,INDEXAGRO,91.9,93,83,87.8,356760
20210530,INTECH,38.4,38.4,37.1,37.2,335576
20210530,INTRACO,15.6481481481481,15.7407407407407,15,15.1851851851852,1079102
20210530,IPDC,27.5,28.1,27.3,27.7,981587
20210530,ISLAMIBANK,30.1,30.2,29.5,29.6,759661
20210530,ISLAMICFIN,20.8,22.3,20.5,21.8,7018472
20210530,ISLAMIINS,58.5454545454545,59.0909090909091,54.5454545454545,55.2727272727273,1343602
20210530,ISNLTD,35.4,35.6,35.2,35.3,143024
20210530,ITC,32.5,33,32.4,32.9,372001
20210530,JAMUNABANK,23.4,23.4,22.9,23.4,14278610
20210530,JAMUNAOIL,160.4,163,160.4,162.8,48191
20210530,JANATAINS,43.1428571428571,43.9047619047619,40.8571428571429,41.3333333333333,750908
20210530,JMISMDL,320.4,324.8,318.2,320.6,27999
20210530,JUTESPINN,95.3,100,95.3,95.3,1162
20210530,KARNAPHULI,44,44.6,42.3,42.7,1208970
20210530,KBPPWBIL,8.5,8.5,8.3,8.4,251283
20210530,KDSALTD,45.5,46,44.5,45.6,181307
20210530,KEYACOSMET,6.5,6.7,6.3,6.4,10233838
20210530,KOHINOOR,411.130434782609,411.130434782609,411.130434782609,411.130434782609,3
20210530,KPCL,42.9,42.9,41.4,41.4,794869
20210530,KPPL,12.5,12.5,12.2,12.2,901673
20210530,KTL,17.5,17.5,17.2,17.2,1181602
20210530,LANKABAFIN,35.7,36.2,35.1,35.2,9885403
20210530,LEGACYFOOT,62.9,62.9,62.9,62.9,5
20210530,LHBL,58.2,59.5,57.6,59,4226973
20210530,LIBRAINFU,559,565,550.5,563,10132
20210530,LINDEBD,1305,1310,1305,1306.2,3805
20210530,LOVELLO,29.5,29.5,26.6,27.3,2728534
20210530,LRBDL,43.3,44.4,42.9,43.2,2183393
20210530,LRGLOBMF1,7.7,7.9,7.6,7.7,1919762
20210530,MAKSONSPIN,18.4,18.7,17.2,17.5,10310710
20210530,MALEKSPIN,20.7,21.4,19.5,19.7,2010609
20210530,MARICO,2108.9,2109,2060,2085.2,13110
20210530,MATINSPINN,41.7,43.5,41,41.3,72310
20210530,MBL1STMF,9.9,10.3,9.8,10.1,9722916
20210530,MEGCONMILK,11.6,11.8,11,11.2,33286
20210530,MEGHNACEM,72.6,72.6,72.6,72.6,5280
20210530,MEGHNALIFE,71.304347826087,75.4782608695652,71.304347826087,73.1304347826087,1287738
20210530,MEGHNAPET,11.5,11.7,11.1,11.3,22776
20210530,MERCANBANK,14.4,14.7,13.7,14.4,7639163
20210530,MERCINS,51.6,51.6,48.1,48.8,911236
20210530,METROSPIN,16.1,16.1,15.4,16.1,6382863
20210530,MHSML,17.2,17.5,16.8,16.9,513396
20210530,MICEMENT,70,71,67.1,69.5,136925
20210530,MIDASFIN,21.6,22,20.4,20.7,815128
20210530,MIRACLEIND,33.2,33.9,32,32.8,1106732
20210530,MIRAKHTER,71,71,66.7,67.2,1074109
20210530,MITHUNKNIT,9.9,9.9,9.2,9.3,29514
20210530,MJLBD,81.8,83.5,81.8,83.4,84291
20210530,MLDYEING,30.5,30.5,29.9,29.9,1994746
20210530,MONNOAGML,794.8,794.8,794.8,794.8,21
20210530,MONNOCERA,126.8,126.8,126.8,126.8,1
20210530,MPETROLEUM,184.2,185.4,183.2,184.7,57019
20210530,MTB,21.8181818181818,22,21.3636363636364,21.6363636363636,582648
20210530,NAHEEACP,39.4,39.4,38.5,38.5,606347
20210530,NATLIFEINS,248.1,251.1,241,247.1,19166
20210530,NAVANACNG,33.7,34,33.6,33.9,184749
20210530,NBL,8.7,8.9,8.4,8.6,20273319
20210530,NCCBANK,17.3953488372093,17.4883720930233,16.6511627906977,16.9302325581395,10647824
20210530,NCCBLMF1,8.5,8.8,8.5,8.6,774149
20210530,NEWLINE,19.4,20.4,19.3,19.7,2278542
20210530,NFML,32.7,34.8,31.5,33.2,9062495
20210530,NHFIL,46.6,46.9,43.2,43.8,1373781
20210530,NITOLINS,57.5,59.8,54.5,55.4,745579
20210530,NLI1STMF,14.8,15.3,14.8,15.3,914699
20210530,NORTHERN,324.9,324.9,324.9,324.9,180
20210530,NORTHRNINS,66.6,66.6,63.1,66.5,7243402
20210530,NPOLYMER,56.6,56.6,56.6,56.6,522890
20210530,NRBCBANK,34.952380952381,36.4761904761905,33.3333333333333,35.5238095238095,8380727
20210530,NTC,451.5,452,451.5,451.6,828
20210530,NTLTUBES,103.1,103.1,103.1,103.1,973
20210530,NURANI,7.1,7.1,6.9,6.9,1083742
20210530,OAL,7.4,7.4,7.1,7.2,368620
20210530,OIMEX,22.1,22.1,22.1,22.1,48724
20210530,OLYMPIC,170,173.8,170,173,81872
20210530,ONEBANKLTD,15.3,15.6,14.2,14.9,23404813
20210530,ORIONINFU,72.1,72.1,72.1,72.1,1725
20210530,ORIONPHARM,49.1,49.1,48,48.1,1368133
20210530,PADMALIFE,34.7,34.7,32.4,33.8,1043857
20210530,PADMAOIL,203.1,204.9,200.4,203.8,20075
20210530,PARAMOUNT,82.5,83.5,77,78.9,1177273
20210530,PDL,10.1,10.5,10.1,10.2,3946511
20210530,PENINSULA,19.4,19.5,19.1,19.2,277933
20210530,PF1STMF,10.8,11.9,10.7,11.9,5753466
20210530,PHARMAID,404.9,404.9,397.1,397.4,11378
20210530,PHENIXINS,62.5,63.8,57,57.5,1709211
20210530,PHOENIXFIN,23.7735849056604,25.377358490566,23.7735849056604,25.188679245283,193601
20210530,PHPMF1,6.3,6.7,6.3,6.7,6121017
20210530,PIONEERINS,126.090909090909,134.454545454545,120.454545454545,126.454545454545,6211319
20210530,POPULAR1MF,6,6.3,5.9,6.2,6381179
20210530,POPULARLIF,85,85,78.1,80.1,605215
20210530,POWERGRID,45.7,46.8,45.3,46.1,2223619
20210530,PRAGATIINS,89,89,80.3,86.1,1560664
20210530,PRAGATILIF,106.8,106.8,101,103.9,1752185
20210530,PREMIERBAN,13.7,13.8,12.9,13.3,9093202
20210530,PREMIERCEM,72,72,68,70.7,39510
20210530,PREMIERLEA,8.7,8.9,7.9,8.1,2039122
20210530,PRIME1ICBA,7.5,8,7.5,7.8,539417
20210530,PRIMEBANK,26.3,26.5,24.4,24.7,12155309
20210530,PRIMEFIN,13.5,13.8,12.9,13,1807871
20210530,PRIMEINSUR,50.4,51.4,48.1,48.7,234472
20210530,PRIMELIFE,73,79,73,79,450715
20210530,PRIMETEX,17.1,17.4,17,17,217271
20210530,PROGRESLIF,123,127.6,115.1,118.8,790659
20210530,PROVATIINS,182.1,193,175.5,190.1,193203
20210530,PTL,44.2,45.7,43.5,45.4,915004
20210530,PUBALIBANK,24.7,27.1,24.7,26.4,268443
20210530,PURABIGEN,38.3809523809524,38.5714285714286,34.2857142857143,35.5238095238095,2213827
20210530,QUASEMIND,40.6,42.7,40.6,42.3,1078937
20210530,QUEENSOUTH,23.6363636363636,23.6363636363636,23.0909090909091,23.1818181818182,151501
20210530,RAHIMAFOOD,215,217.8,207,209.5,157351
20210530,RAHIMTEXT,239.9,241.9,231,239.4,6809
20210530,RAKCERAMIC,31.4,32.9,31.2,32.7,699077
20210530,RANFOUNDRY,122.9,122.9,119.6,120.5,5790
20210530,RDFOOD,30,32.5,29.8,30.8,2178360
20210530,RECKITTBEN,4300,4300,4237,4243.4,3159
20210530,REGENTTEX,8.9,9.1,8.9,8.9,372840
20210530,RELIANCE1,12.8,13.1,12.7,12.9,1274244
20210530,RELIANCINS,78.8,78.8,72.9,73.5,435842
20210530,RENATA,1158.27272727273,1170.90909090909,1156.45454545455,1164.27272727273,12390
20210530,RENWICKJA,900,900,900,900,360
20210530,REPUBLIC,56.2616822429907,57.6635514018692,53.2710280373832,53.5514018691589,1767646
20210530,RINGSHINE,8.2,8.4,8.2,8.2,8771314
20210530,RNSPIN,4.7,4.7,4.7,4.7,125431
20210530,ROBI,47.3,47.4,47,47.1,5802374
20210530,RSRMSTEEL,19.6,19.7,19,19.4,347877
20210530,RUNNERAUTO,55.8,58.4,55.1,57.5,457759
20210530,RUPALIBANK,28.4545454545455,28.6363636363636,28,28.3636363636364,319995
20210530,RUPALIINS,41.1,41.5,38.7,39.2,1407496
20210530,RUPALILIFE,83.6,85.8,80.7,82,1834261
20210530,SAFKOSPINN,13.2,13.6,13.1,13.3,701906
20210530,SAIFPOWER,25,25.8,24.3,24.5,8004680
20210530,SAIHAMCOT,15.1,15.3,14.8,14.9,2366748
20210530,SAIHAMTEX,20.1,20.4,19.5,19.6,1007287
20210530,SALAMCRST,22.9,24.7,22.9,24,1013409
20210530,SALVOCHEM,18.2,19.5,17.9,19.5,4571333
20210530,SAMATALETH,106.9,106.9,106.9,106.9,100
20210530,SAMORITA,61.1,63.3,61,62.2,63781
20210530,SANDHANINS,36.5,38.7,35.5,36.5,6633794
20210530,SAPORTL,25.8,26.2,25.8,25.9,481738
20210530,SAVAREFR,153,158,153,155,1481
20210530,SEMLFBSLGF,9.6,10.3,9.6,10.1,2002631
20210530,SEMLIBBLSF,12.6,13.5,12.4,13.1,3583074
20210530,SEMLLECMF,10.9,11.6,10.8,11.1,2868470
20210530,SHAHJABANK,21.4,21.4,20.3,21.1,632973
20210530,SHASHADNIM,20.2,20.6,19.9,19.9,431668
20210530,SHEPHERD,13,13,12.5,12.6,161877
20210530,SHURWID,16.8,16.8,15.7,15.8,1185496
20210530,SHYAMPSUG,52.5,52.5,48.6,50.6,515
20210530,SIBL,14.4761904761905,14.5714285714286,13.8095238095238,14.0952380952381,1720783
20210530,SILCOPHL,23.1,24,23.1,23.5,680734
20210530,SILVAPHL,17.8,18.2,17.5,17.7,410152
20210530,SIMTEX,15.1,15.1,14.5,14.6,1246863
20210530,SINGERBD,179.6,182.4,179,181.6,349669
20210530,SINOBANGLA,45.7,45.7,44.8,44.9,255657
20210530,SKTRIMS,62.2,62.2,62.2,62.2,112
20210530,SONALIANSH,465,471.1,460,460.8,17227
20210530,SONALIPAPR,273,273,273,273,19
20210530,SONARBAINS,86,91,82,83.4,1959898
20210530,SONARGAON,20.2,20.3,19.1,19.1,326302
20210530,SOUTHEASTB,17.4,17.7,16.3,16.5,14731415
20210530,SPCERAMICS,26.5,27.7,26.4,27.1,2997043
20210530,SPCL,73.6,74.7,73,73.3,260783
20210530,SQUARETEXT,35,35.3,34.8,35.1,40701
20210530,SQURPHARMA,211.9,216.8,211.9,215.5,838816
20210530,SSSTEEL,17.8703703703704,17.962962962963,17.5,17.5925925925926,4835497
20210530,STANDARINS,55.2,57.5,54.5,54.5,882467
20210530,STANDBANKL,10.6341463414634,10.6341463414634,9.5609756097561,10.1463414634146,4587696
20210530,STYLECRAFT,146.3,146.3,146.3,146.3,3690
20210530,SUMITPOWER,45.2,46.2,45.1,45.2,3402767
20210530,SUNLIFEINS,37.1,38.8,35.1,35.7,270136
20210530,TAKAFULINS,60.4,60.4,56,56.6,367287
20210530,TALLUSPIN,4.9,5.2,4.9,4.9,613633
20210530,TITASGAS,34.6,35.5,34.2,35.2,515725
20210530,TOSRIFA,15.2,15.7,14.9,15.2,553629
20210530,TRUSTB1MF,6.7,7,6.6,6.9,17217720
20210530,TRUSTBANK,31.5454545454545,31.8181818181818,31.0909090909091,31.5454545454545,203104
20210530,TUNGHAI,3.1,3.3,3.1,3.2,260588
20210530,UCB,18.0952380952381,18.0952380952381,17.2380952380952,17.8095238095238,6527370
20210530,UNILEVERCL,2795,2795,2772,2773.9,2298
20210530,UNIONCAP,8.4,8.5,7.8,7.9,890017
20210530,UNIQUEHRL,32.5,32.5,32.1,32.2,94617
20210530,UNITEDFIN,18.2,18.2,17.3,17.5,1478503
20210530,UNITEDINS,53,53.6,52,52.2,98527
20210530,UPGDCL,280,280.5,275,276.1,327559
20210530,USMANIAGL,43.5,43.5,42,42.1,16931
20210530,UTTARABANK,24.2,25.2,23.8,25,3875977
20210530,UTTARAFIN,39.2,39.5,39,39.3,103531
20210530,VAMLBDMF1,8.9,9.5,8.9,9.3,743128
20210530,VAMLRBBF,8.8,9.4,8.7,9.2,623476
20210530,VFSTDL,23.8,24,23.2,23.2,1351155
20210530,WALTONHIL,1267,1300,1267,1271.9,38713
20210530,WATACHEM,306.8,306.8,306.8,306.8,11522
20210530,WMSHIPYARD,10,10.1,9.7,9.7,1389309
20210530,YPL,10,10.1,9.8,10,349917
20210530,ZAHEENSPIN,7.3,7.8,7.2,7.6,3502311
20210530,ZAHINTEX,6.1,6.3,6,6.1,698288
20210530,ZEALBANGLA,97,97,90,90.8,6943
