Date,Scrip,Open,High,Low,Close,Volume
20211028,00DS30,2644.32859,2651.79477,2633.87527,2638.90891,17244811000
20211028,00DSES,1481.43505,1482.7586,1473.2091,1479.39395,17244811000
20211028,00DSEX,7011.88984,7069.01837,7000.95246,7062.35722,17244811000
20211028,1JANATAMF,6.9,7,6.8,6.9,706448
20211028,1STPRIMFMF,20.5,21.3,19.9,20.9,672840
20211028,AAMRANET,42.9090909090909,44.5454545454545,41.8181818181818,43.5454545454545,257380
20211028,AAMRATECH,25.3636363636364,27.5454545454545,24.6363636363636,27,457386
20211028,ABB1STMF,6.1,6.2,6,6.1,2300318
20211028,ABBANK,15,15.5,14.9,15.1,4368331
20211028,ACFL,35,38,34.2,37.4,476648
20211028,ACI,273.04347826087,278.782608695652,273.04347826087,275.391304347826,141060
20211028,ACIFORMULA,155.428571428571,155.428571428571,151.142857142857,152.190476190476,32624
20211028,ACMELAB,88.4,88.4,85.7,86.6,541304
20211028,ACTIVEFINE,25.6,25.6,23.8,24.5,4685760
20211028,ADNTEL,60.1,60.8,58.2,58.8,171413
20211028,ADVENT,30.2,30.7,28.8,30.1,2768707
20211028,AFCAGRO,32.2,32.2,31.5,32.2,5779015
20211028,AFTABAUTO,29.6190476190476,31.047619047619,29.6190476190476,30.952380952381,42348
20211028,AGNISYSL,19.9,21.2,19.2,20.9,1021037
20211028,AGRANINS,54.8,57.3,54,55.2,217999
20211028,AIBL1STIMF,8.8,8.8,8.7,8.8,96505
20211028,AIL,50.5,53.9,50.5,53.1,363456
20211028,AL-HAJTEX,53.5,59,52,58.3,629618
20211028,ALARABANK,26.8,26.9,26.3,26.8,146237
20211028,ALIF,18.3,20.2,18,20,9201365
20211028,ALLTEX,14.9,14.9,13.5,13.9,521760
20211028,AMANFEED,54.2,54.3,51.5,52.4,566865
20211028,AMBEEPHA,495,495,451.2,475.8,2947
20211028,AMCL(PRAN),235,237.4,230,230.8,19327
20211028,ANLIMAYARN,36.1,37,35.5,36.8,58959
20211028,ANWARGALV,415.5,420,402,405.5,49955
20211028,AOL,44.8598130841121,47.5700934579439,44.8598130841121,46.9158878504673,187380
20211028,APEXFOODS,135,137.9,130.3,137.4,23392
20211028,APEXFOOT,268.9,268.9,261,261.8,2757
20211028,APEXSPINN,113.3,122.8,113.3,121.7,15559
20211028,APEXTANRY,118.6,122,118.6,119.7,13242
20211028,APOLOISPAT,9.4,9.4,9,9.3,1649747
20211028,APSCLBOND,5220,5220,5220,5220,1
20211028,ARAMIT,343,360,331,337.4,23621
20211028,ARAMITCEM,59,59.7,56.3,59.1,252699
20211028,ARGONDENIM,22.3809523809524,24.1904761904762,22.2857142857143,23.7142857142857,1912586
20211028,ASIAINS,95.2,103.5,95,103.4,1379692
20211028,ASIAPACINS,69.1,71.4,69,69.7,303088
20211028,ATCSLGF,10,10.3,9.9,10.1,385210
20211028,ATLASBANG,108,109,107,107.6,2965
20211028,AZIZPIPES,108,109.2,103,107.7,38902
20211028,BANGAS,120.9,121,119.3,120.7,14783
20211028,BANKASIA,20.2,20.5,20,20.2,97649
20211028,BARKAPOWER,28,29,27.4,28.6,888651
20211028,BATASHOE,903,912.5,900,908,6361
20211028,BATBC,674,674.9,650.6,654.8,764254
20211028,BAYLEASING,31.2,32.7,31.2,32.7,2174180
20211028,BBS,16.7,17,16.4,16.9,300174
20211028,BBSCABLES,60,61.1428571428571,57.4285714285714,59.9047619047619,911544
20211028,BDAUTOCA,131.1,135.8,130,131.1,23003
20211028,BDCOM,24.6666666666667,26.0952380952381,24,25.5238095238095,581337
20211028,BDFINANCE,56.6,57.2,54.9,56.4,1235277
20211028,BDLAMPS,190.2,193.9,186.7,187.7,54322
20211028,BDTHAI,25.5,26.7,25.5,26.5,1025013
20211028,BDWELDING,18.7,18.7,18,18.4,74403
20211028,BEACHHATCH,22.2,22.5,20.6,21.1,177495
20211028,BEACONPHAR,211.9,212.5,207,209.9,81196
20211028,BENGALWTL,22.6,23.2,22.3,22.8,114784
20211028,BERGERPBL,1771,1797.5,1771,1781,4137
